epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30676,1.63157,4.73417,1.82563,0.35728,0.57143,0.25889,0.19538,1.41586,4.93251,1.6289,4.444e-05,4.444e-05,4.444e-05
2,7.62171,1.4115,4.04044,1.61374,0.37069,0.54175,0.30158,0.23321,1.10676,2.77485,1.4624,9.83402e-05,9.83402e-05,9.83402e-05
3,9.88451,1.23276,3.09753,1.53257,0.48191,0.69822,0.46793,0.40297,1.246,2.94688,1.4771,0.000150407,0.000150407,0.000150407
4,12.0447,1.23022,2.41289,1.44456,0.28011,0.77143,0.35067,0.27917,1.21137,3.41193,1.46926,0.000200641,0.000200641,0.000200641
5,14.2303,1.2438,2.3228,1.5122,0.10839,0.65064,0.21136,0.15532,1.41764,3.69394,1.62336,0.000249042,0.000249042,0.000249042
6,16.3856,1.16858,2.10686,1.47907,0.53253,0.45714,0.53379,0.4242,1.30832,2.76153,1.56448,0.000295609,0.000295609,0.000295609
7,19.3249,1.14558,1.93558,1.38407,0.16126,0.64999,0.33616,0.23909,1.3976,3.04041,1.73597,0.000340344,0.000340344,0.000340344
8,21.3136,1.10148,1.80538,1.41155,0.17475,0.59444,0.3087,0.17024,1.46384,3.05669,1.81596,0.000383245,0.000383245,0.000383245
9,23.4,1.18128,1.93998,1.45198,0.60843,0.21905,0.23765,0.15508,1.66121,3.26612,2.14232,0.000424313,0.000424313,0.000424313
10,25.4703,1.14478,1.67314,1.46648,0.14597,0.45161,0.31561,0.21093,1.71869,3.09136,2.34349,0.000463548,0.000463548,0.000463548
11,27.493,1.16743,1.55345,1.41191,0.18886,0.50363,0.34356,0.22824,1.37391,2.80209,2.00751,0.00050095,0.00050095,0.00050095
12,29.6876,1.16681,1.58881,1.4456,0.14478,0.50196,0.29062,0.19529,1.75831,2.85711,2.34975,0.000536519,0.000536519,0.000536519
13,32.3976,1.1221,1.37691,1.35851,0.29589,0.48571,0.22512,0.1305,1.77143,3.1858,2.20463,0.000570254,0.000570254,0.000570254
14,34.4431,1.14028,1.35086,1.39978,0.4998,0.4,0.34709,0.17107,1.70547,4.03683,2.19058,0.000602156,0.000602156,0.000602156
15,36.4097,1.04105,1.16021,1.34647,0.47816,0.53333,0.49057,0.1783,2.03867,3.9872,2.61473,0.000632226,0.000632226,0.000632226
16,38.4038,1.02154,1.14123,1.30757,0.63676,0.4,0.49822,0.2366,1.91633,3.14839,2.49041,0.000660462,0.000660462,0.000660462
17,40.3829,1.0642,1.22929,1.38167,0.5332,0.6907,0.42019,0.2469,2.02688,3.22617,2.85184,0.000686865,0.000686865,0.000686865
18,42.3991,1.15774,1.20092,1.45085,0.53943,0.23007,0.27361,0.16123,1.88518,2.98886,2.66903,0.000711434,0.000711434,0.000711434
19,45.2231,1.10555,1.23129,1.40602,0.54283,0.38378,0.43133,0.18163,1.59755,2.77047,2.53551,0.000734171,0.000734171,0.000734171
20,47.2024,1.06082,1.13614,1.32819,0.52907,0.39097,0.16608,0.10082,1.72633,3.948,2.2041,0.000755074,0.000755074,0.000755074
21,49.146,1.0575,1.16763,1.3452,0.60595,0.28256,0.13544,0.08235,1.74924,4.26974,2.23426,0.00074437,0.00074437,0.00074437
22,51.1533,0.99903,1.08983,1.3069,0.34362,0.28571,0.11976,0.07334,1.9887,4.77719,2.48878,0.000726038,0.000726038,0.000726038
23,53.0843,1.0515,1.0895,1.31312,0.21567,0.31279,0.13998,0.07452,2.13963,5.67084,2.62552,0.000707707,0.000707707,0.000707707
24,55.0817,1.00131,1.01054,1.2523,0.32743,0.54946,0.15972,0.08823,1.80229,5.11867,2.30564,0.000689376,0.000689376,0.000689376
25,58.0914,1.06032,1.04906,1.28648,0.11115,0.31429,0.0725,0.03555,2.11097,4.55796,2.68985,0.000671044,0.000671044,0.000671044
26,60.1401,1.08809,1.02889,1.40407,0.15543,0.20952,0.11334,0.05653,2.06455,3.7213,2.47478,0.000652712,0.000652712,0.000652712
27,62.1325,1.09142,1.16101,1.37138,0.14987,0.12381,0.10002,0.06729,1.95022,3.20553,2.26376,0.000634381,0.000634381,0.000634381
28,64.1061,1.13112,1.11608,1.39347,0.21099,0.38095,0.13732,0.08851,2.00009,4.03557,2.39177,0.000616049,0.000616049,0.000616049
29,66.0416,0.93875,0.94682,1.28612,0.48914,0.28571,0.21797,0.16181,1.80498,3.57449,2.19595,0.000597718,0.000597718,0.000597718
30,67.9509,0.98498,0.95882,1.28927,0.53804,0.31144,0.37599,0.30005,1.58399,2.72968,1.91814,0.000579386,0.000579386,0.000579386
31,70.7209,1.0228,1.03903,1.3441,0.9166,0.37143,0.38199,0.30308,1.58659,2.54111,1.8283,0.000561055,0.000561055,0.000561055
32,72.9747,0.94793,0.95506,1.27227,0.42415,0.54286,0.34861,0.25041,1.93807,2.98365,2.18077,0.000542723,0.000542723,0.000542723
33,74.9879,1.01703,0.98913,1.25446,0.17441,0.64762,0.37127,0.21603,1.89389,3.26723,2.03611,0.000524392,0.000524392,0.000524392
34,77.0042,0.93861,0.90979,1.24757,0.19925,0.59048,0.44758,0.18477,2.05907,3.61895,2.19023,0.00050606,0.00050606,0.00050606
35,78.9854,0.97961,1.01444,1.31516,0.73658,0.32016,0.46078,0.27128,1.83231,3.65163,2.06333,0.000487729,0.000487729,0.000487729
36,81.0265,0.91684,0.86939,1.25151,0.52104,0.61065,0.39279,0.23351,1.73336,3.91685,2.0006,0.000469397,0.000469397,0.000469397
37,83.7039,0.91918,0.88937,1.25755,0.50567,0.41905,0.40054,0.314,1.68645,3.45038,1.9503,0.000451066,0.000451066,0.000451066
38,85.9328,0.90041,0.8811,1.21264,0.61996,0.39621,0.44028,0.389,1.46488,2.96528,1.76126,0.000432734,0.000432734,0.000432734
39,87.9488,0.8483,0.89459,1.24603,0.47916,0.32381,0.40503,0.337,1.57875,3.22632,1.89957,0.000414403,0.000414403,0.000414403
40,89.9499,0.85289,0.83696,1.17417,0.41897,0.32381,0.39195,0.34954,1.51752,3.15774,1.77378,0.000396071,0.000396071,0.000396071
41,91.8938,0.84827,0.80156,1.19888,0.41597,0.43198,0.40993,0.36483,1.57341,3.15915,1.794,0.00037774,0.00037774,0.00037774
42,93.9441,0.87566,0.77073,1.23738,0.45939,0.53087,0.45377,0.4055,1.48235,2.87639,1.75567,0.000359409,0.000359409,0.000359409
43,96.5547,0.77037,0.72414,1.13046,0.52593,0.57889,0.47829,0.38264,1.51978,2.94414,1.78711,0.000341077,0.000341077,0.000341077
44,98.8754,0.73772,0.63899,1.11329,0.4123,0.65682,0.48891,0.42504,1.45534,2.66276,1.78593,0.000322745,0.000322745,0.000322745
45,100.84,0.81454,0.72643,1.17275,0.4751,0.60361,0.48623,0.40453,1.4426,2.58767,1.72809,0.000304414,0.000304414,0.000304414
46,102.899,0.85999,0.78079,1.21472,0.59422,0.58095,0.62579,0.54226,1.38152,2.37505,1.66454,0.000286083,0.000286083,0.000286083
47,104.913,0.77917,0.71841,1.14788,0.61792,0.56624,0.62639,0.54572,1.43134,2.34518,1.6205,0.000267751,0.000267751,0.000267751
48,107,0.68712,0.65363,1.08533,0.42665,0.58689,0.65272,0.51686,1.46357,2.11653,1.63228,0.00024942,0.00024942,0.00024942
49,109.839,0.77133,0.69054,1.13873,0.48809,0.61094,0.68128,0.4822,1.37615,1.95729,1.56344,0.000231088,0.000231088,0.000231088
50,112.028,0.71519,0.62458,1.12331,0.53776,0.60952,0.70318,0.51049,1.36277,1.91676,1.55068,0.000212757,0.000212757,0.000212757
51,115.878,0.76024,0.77277,1.22027,0.7729,0.60952,0.71051,0.55896,1.3258,1.77634,1.52376,0.000194425,0.000194425,0.000194425
52,118.286,0.6522,0.56317,1.0807,0.7817,0.69143,0.75124,0.6074,1.28493,1.69262,1.52866,0.000176094,0.000176094,0.000176094
53,120.52,0.6373,0.56828,1.08004,0.79465,0.69039,0.75546,0.6083,1.31353,1.75493,1.52988,0.000157762,0.000157762,0.000157762
54,123.307,0.6233,0.54358,1.03484,0.62963,0.69385,0.75523,0.60709,1.27596,1.74636,1.49903,0.000139431,0.000139431,0.000139431
55,125.336,0.65798,0.6391,1.12749,0.60129,0.70595,0.75266,0.62545,1.22946,1.71055,1.49609,0.000121099,0.000121099,0.000121099
56,127.433,0.56386,0.52452,1.03438,0.63811,0.7035,0.75674,0.63495,1.14511,1.63782,1.46386,0.000102768,0.000102768,0.000102768
57,129.443,0.56666,0.54627,1.02814,0.60764,0.68675,0.7358,0.61562,1.13026,1.63852,1.46443,8.4436e-05,8.4436e-05,8.4436e-05
58,131.398,0.58164,0.52015,1.05252,0.6312,0.63272,0.72772,0.61378,1.11771,1.62175,1.45783,6.61045e-05,6.61045e-05,6.61045e-05
